name,amount
KLIMASZEWSKA,2473
PRZYBYSZEWSKA,2466
SEWERYN,2465
BOGDAN,2464
GAJEK,2460
BARTKOWSKA,2459
SŁOMIŃSKA,2458
KAZIMIERCZAK,2456
KONIECZNY,2456
PANASIUK,2456
FLAK,2453
PASTUSZKA,2453
MIREK,2451
JACKIEWICZ,2448
RYBA,2447
MATCZAK,2445
TUSZYŃSKA,2443
RYCHLIK,2442
KRÓLIK,2439
RYBIŃSKA,2439
SZUBERT,2439
JANECZEK,2436
OGÓREK,2436
CZAPLIŃSKA,2435
GÓRALSKA,2432
TURSKA,2431
CIOŁEK,2430
SOBCZYŃSKA,2430
SPYCHAŁA,2430
DOBRZAŃSKA,2429
RUMIŃSKA,2429
WISZNIEWSKA,2427
MAKAREWICZ,2426
NALEPA,2424
GAŁUSZKA,2420
NADOLNA,2420
MARCZEWSKA,2419
WALAS,2415
CZUBA,2414
RADZIKOWSKA,2414
TABOR,2414
ŁUGOWSKA,2412
MACHNIK,2405
BŁASZKIEWICZ,2404
GALAS,2404
PILARCZYK,2403
SZAFRAN,2403
ĆWIK,2402
PODSIADŁO,2402
STRZAŁKOWSKA,2399
SITKO,2397
WCISŁO,2394
ZIOMEK,2393
DRĄG,2390
KREFT,2390
RYBACKA,2390
WĘGLARZ,2388
DANIEL,2385
MIKUŁA,2385
KŁOSIŃSKA,2384
WYDRA,2384
IWANICKA,2382
SOBOŃ,2379
STOPA,2379
KASPERSKA,2373
WNĘK,2372
BOJANOWSKA,2371
ZAWIŚLAK,2371
SŁOMKA,2368
NEUMANN,2365
PIEŃKOWSKA,2363
KĄKOL,2362
LEWCZUK,2361
SZOSTEK,2358
GUZ,2357
IWANOWSKA,2355
RADWAŃSKA,2355
WOLNY,2354
ŚWIERCZ,2352
FURTAK,2350
GIZA,2350
MARCINKIEWICZ,2349
WACHOWSKA,2349
KLUSKA,2347
NYCZ,2346
DUSZA,2343
KULAS,2342
LUDWICZAK,2339
KALBARCZYK,2338
ROKITA,2338
CHOJECKA,2336
GROBELNA,2334
KOBYLIŃSKA,2334
MACHOWSKA,2332
WILIŃSKA,2332
ŚLIWKA,2331
ANTKOWIAK,2329
OLENDER,2328
PORĘBA,2328
NOSAL,2327
KALITA,2324
BRYŁA,2323
MARKOWICZ,2319
CZAPIEWSKA,2316
JOŃCZYK,2316
FRANKIEWICZ,2315
KORNACKA,2315
PIWOWAR,2315
KOŁACZ,2312
KLONOWSKA,2308
BOROWIAK,2306
KLEIN,2306
TOPOLSKA,2306
RĄCZKA,2305
BUDA,2304
WASZAK,2302
NAPIÓRKOWSKA,2300
GREGORCZYK,2299
MIZERA,2299
MISZCZAK,2298
CHYLIŃSKA,2294
BACZYŃSKA,2289
DOMAGALSKA,2289
PATER,2289
TRUSZKOWSKA,2283
KRASUSKA,2276
ZATORSKA,2266
GĄSKA,2265
KONDRACKA,2263
PIEKARZ,2263
RYDZEWSKA,2261
SUCHOCKA,2260
DUDKIEWICZ,2259
SMYK,2259
PAJOR,2258
SITARZ,2258
KOZIŃSKA,2256
CZUBAK,2255
IWAN,2248
GWIAZDA,2247
KIELAR,2247
JAKUBCZAK,2246
DREWNIAK,2245
OSIECKA,2245
MOSKWA,2242
MASTALERZ,2241
KOMAR,2238
WIERZCHOWSKA,2235
ZALESKA,2235
SZEWCZUK,2234
STAROŃ,2228
DWORAK,2223
OSTASZEWSKA,2223
POPIOŁEK,2223
WIDERA,2221
ZIEMBA,2221
RAKOCZY,2220
ZAŁĘSKA,2220
PISARSKA,2218
SAKOWSKA,2216
TRZASKA,2216
TARKA,2214
CZERWONKA,2212
DĘBICKA,2209
WOJDYŁA,2202
MATUSZCZAK,2201
MIKOŁAJEWSKA,2201
MOTYL,2201
BADURA,2198
WOJNOWSKA,2197
CHOWANIEC,2195
PYKA,2195
MACIASZEK,2194
PLUCIŃSKA,2194
SZLACHTA,2193
KUNICKA,2188
MILER,2187
MALCZEWSKA,2184
SĘKOWSKA,2184
SZAFRANIEC,2184
KARBOWSKA,2183
BLOCH,2178
BABIARZ,2177
BOGDANOWICZ,2177
GĄDEK,2177
CIEŚLIŃSKA,2176
KOTARSKA,2174
IWANIUK,2173
KARASIŃSKA,2168
TROJAN,2167
ŁUCZYŃSKA,2166
