name,amount
KATIE,128
MAURA,128
ANI,127
ANNAMARIA,127
BEATRYCZE,127
BERNADYNA,127
BRIGITTE,127
ŁARYSA,127
STEFANIE,127
EDITA,126
RYMMA,126
VIORICA,126
CAMILLE,125
KORA,125
ZARINA,124
ANNEMARIE,123
ASHLEY,123
CARINA,123
ELLEN,123
JUTTA,123
LETICIA,123
LIUBOU,123
SYBILA,123
ARETA,122
MALENA,121
ALEXIA,120
ANASTASIJA,120
AYLIN,120
ESRA,120
FIONA,120
HILA,120
MARISA,120
XYMENA,120
ANNABELLE,119
GISELA,119
JULIJA,119
ZUZA,119
LILLIAN,118
TANIA,118
ANAHIT,117
FILIPINA,117
GABRIELE,117
MADELEINE,117
NARINE,117
ROSANNA,117
XENIA,117
DANIELLA,116
FABIANA,116
MOLLY,116
NIKITA,116
ROSEMARIE,116
ISABELL,115
MONA,115
ALEVTYNA,114
DAMARIS,114
DOROTHEA,114
GAYANE,114
KHEDA,114
LUSINE,114
NATIA,114
AMIT,113
LIAT,113
MATHILDE,113
NANA,113
TIFFANY,113
BERNARDETTA,112
ITA,112
KAIA,112
KIMBERLY,112
NOGA,112
RAJMUNDA,112
EMILIANA,111
FERNANDA,111
RODICA,111
BEATE,110
IWA,110
JANET,110
PIA,110
HELENE,109
LIUBA,109
OŁENA,109
SUZANA,109
TAIDA,109
TELIMENA,109
BOZHENA,108
CASSANDRA,108
KORINA,108
LIUBOMYRA,108
PRZEMYSŁAWA,108
WILMA,108
ASIA,107
AYŞE,107
DALILA,107
DOROTHY,107
YELENA,107
ZYGRYDA,107
ELSA,106
FLAVIA,106
TOMIRA,106
MARIANNE,105
OLESEA,105
RENATE,105
SHIR,105
ALIA,104
ARKADIA,104
FEDERICA,104
JEANETTE,104
KWIRYNA,104
LEONIE,104
LILIT,104
OFELIA,104
SELIN,104
CATERINA,103
FRIEDA,103
HENRIETTA,103
KARIONA,103
LIJA,103
TARA,103
VANDA,103
GAL,102
MAKKA,102
MARYSIA,102
RENISŁAWA,102
SASKIA,102
SELMA,102
YASEMIN,102
LUCIANA,101
MERYEM,101
NETA,101
RAYANA,101
AYLA,100
DARIYA,100
FARIDA,100
MAKSYMILIANA,100
VIOLA,100
ZORYANA,100
ALEJANDRA,99
CHRISTA,99
DAGMAR,99
DAGNY,99
ELLI,99
EMINE,99
GIOVANNA,99
REHINA,99
SALWINA,99
STEPANIIA,99
ERICA,98
FLORENCIA,98
MINA,98
ARIA,97
DILARA,97
MARGITA,97
MICAELA,97
NONNA,97
BIBIANA,96
INDIA,96
JUSTINA,96
MICHELE,96
RIMA,96
ROTEM,96
ANNELIESE,95
CHLOÉ,95
GIORGIA,95
IVONA,95
JANKA,95
