name,amount
GERARDO,91
JIMMY,91
MARTYNIAN,91
PANAGIOTIS,91
YASSIN,91
ZAUR,91
ABHISHEK,90
DANTE,90
ELLIOT,90
GONZALO,90
KHVICHA,90
OCTAVIAN,90
RAM,90
SHAI,90
VITTORIO,90
WIECZYSŁAW,90
ANDERS,89
ARTURO,89
AUREL,89
DETLEF,89
FURKAN,89
HARTMUT,89
HEIKO,89
JACOPO,89
JANEK,89
JAROGNIEW,89
MOJŻESZ,89
OLES,89
RAMIN,89
REGINALD,89
SERGEJ,89
YAKUB,89
BO,88
HAYK,88
TOMÁS,88
UDO,88
ZINOVIY,88
ALİ,87
ANDRIEJ,87
ARNAUD,87
ARYAN,87
DOMINICK,87
FREDERIK,87
GERWAZY,87
JANUARIUSZ,87
MAXYM,87
NIELS,87
RAFAL,87
RONNY,87
STANISLAS,87
XUAN,87
ANZOR,86
CHEN,86
DROR,86
HECTOR,86
KIM,86
MAXIMILIANO,86
NODAR,86
OTAR,86
PÉTER,86
RAMON,86
RONEN,86
YASSINE,86
ALPER,85
ANDRANIK,85
EREN,85
EVGHENII,85
GURAM,85
HAI,85
HALIL,85
KAREL,85
KAY,85
MANSUR,85
NUNO,85
RAMIL,85
ROMAIN,85
SANDEEP,85
STEPHANE,85
VAKHTANG,85
ZOLTÁN,85
ARTAK,84
DARREN,84
DOUGLAS,84
ELCHIN,84
ELVIN,84
EUGENE,84
FADI,84
GÁBOR,84
HENADZ,84
IOSIF,84
KAMRAN,84
KRISHNA,84
NAREK,84
SERDAR,84
AMINE,83
ANAR,83
BERTHOLD,83
INGO,83
KADIR,83
LUIZ,83
LUKÁŠ,83
MUSLIM,83
ORKHAN,83
SUREN,83
WALERIJ,83
MAXIMUS,82
NGOC,82
OHAD,82
OWEN,82
RAFIK,82
SEMIR,82
SINAN,82
STUART,82
YOTAM,82
ATANAS,81
BJÖRN,81
DARKO,81
ERICK,81
ERNESTO,81
GILAD,81
HUSSEIN,81
JESSE,81
JOAQUIN,81
METIN,81
RONI,81
RUI,81
THORSTEN,81
UMUT,81
YOUSEF,81
EBERHARD,80
JAKE,80
JAY,80
KEITH,80
KENAN,80
LUCIAN,80
NUGZAR,80
ONUFRY,80
OZAN,80
REVAZ,80
SERGO,80
VARDAN,80
VITALY,80
WAWRZYN,80
ISTVÁN,79
MILOSZ,79
PETROS,79
QUENTIN,79
YVES,79
ZIV,79
ARIF,78
DAGMAR,78
JURII,78
KHAMZAT,78
MARTÍN,78
OFIR,78
RUMEN,78
ANZELM,77
FIODAR,77
GORDON,77
IROSŁAW,77
ITZHAK,77
MARLON,77
REINER,77
SALVADOR,77
ŚWIATOSŁAW,77
WILLEM,77
ALEKSI,76
ANTONINO,76
ARCHIL,76
BOJAN,76
FABIEN,76
HOVHANNES,76
LEVON,76
LUC,76
RADOSLAV,76
SAMET,76
STÉPHANE,76
ANAS,75
BRENDAN,75
JERRY,75
LEE,75
NIMROD,75
PASQUALE,75
RACHID,75
RUDI,75
THÉO,75
VISHAL,75
ALEKSANDROS,74
AMIRAN,74
CLAUS,74
CORNELIS,74
ELIOT,74
ELVIS,74
FILIPE,74
SAMUELE,74
SILVIO,74
STEVE,74
TAMIR,74
WILFRIED,74
ANDRÁS,73
ARIUSZ,73
ARKADY,73
ARTEMII,73
COLLIN,73
CRAIG,73
EDOARDO,73
HENRIQUE,73
KAAN,73
MATHEUS,73
MICHAIŁ,73
NAM,73
RAJNHARD,73
SULTAN,73
VLAD,73
AURELIAN,72
