,Nazwisko aktualne;Liczba
841,PLICHTA;2903
842,BUGAJSKA;2899
843,BARTOSZEK;2896
844,DUSZYŃSKA;2893
845,KAPUŚCIŃSKA;2893
846,PIECH;2893
847,GOLA;2891
848,KULPA;2889
849,ŚLEDŹ;2888
850,KONARSKA;2887
851,KAŹMIERSKA;2884
852,JANCZAK;2880
853,RODAK;2880
854,KUPIEC;2875
855,WOJTOWICZ;2868
856,STOKŁOSA;2866
857,KAWALEC;2858
858,SKONIECZNA;2858
859,BANASZAK;2856
860,BILIŃSKA;2856
861,OSOWSKA;2848
862,PUCHAŁA;2847
863,WYRZYKOWSKA;2845
864,SUCHECKA;2843
865,KURZAWA;2840
866,PIERZCHAŁA;2839
867,SUŁKOWSKA;2834
868,KĘPKA;2829
869,SZYMANOWSKA;2829
870,OLSZAK;2827
871,KOCHAŃSKA;2824
872,KAROLAK;2822
873,ROKICKA;2819
874,WRZOSEK;2814
875,SZCZUREK;2813
876,WOŹNA;2810
877,KALIŃSKA;2805
878,BRZESKA;2803
879,SOLECKA;2803
880,BUGAJ;2801
881,KOKOT;2799
882,KOKOSZKA;2792
883,BALICKA;2791
884,ŚWIERCZEK;2791
885,WASZKIEWICZ;2786
886,LASEK;2785
887,BRODOWSKA;2784
888,GOLIŃSKA;2783
889,JASKULSKA;2782
890,PASEK;2782
891,WÓJCIAK;2782
892,AMBROZIAK;2774
893,ORZEŁ;2773
894,WIELGUS;2773
895,BIAŁECKA;2769
896,BARSZCZ;2766
897,GRUCA;2763
898,PIECHOCKA;2763
899,GÓRALCZYK;2762
900,SUDOŁ;2762
901,MACH;2761
902,WOJTASZEK;2756
903,MĄCZKA;2752
904,SZCZYGIELSKA;2752
905,CHROBAK;2750
906,KRAUZE;2750
907,DYMEK;2731
908,GARBACZ;2728
909,ZBOROWSKA;2726
910,CZARNOTA;2724
911,PISZCZEK;2723
912,PŁATEK;2722
913,WEBER;2721
914,BIELA;2714
915,ZAPAŁA;2708
916,JAROSZEWSKA;2707
917,LOREK;2707
918,BOJARSKA;2705
919,MATUSIK;2700
920,PASZEK;2699
921,BATOR;2692
922,KOPROWSKA;2690
923,OŻÓG;2690
924,FERENC;2689
925,FIGURA;2687
926,KOSTKA;2685
927,TRACZYK;2684
928,JAMRÓZ;2681
929,PISKORZ;2680
930,DZIKOWSKA;2679
931,WALCZYK;2668
932,SZPAK;2667
933,GABRYŚ;2665
934,WDOWIAK;2665
935,STĘPNIEWSKA;2663
936,SALA;2661
937,SZYMANIAK;2657
938,SMOLAREK;2655
939,OLEŚ;2653
940,DUTKIEWICZ;2651
941,GOŁĄBEK;2651
942,SUROWIEC;2650
943,ŁAWNICZAK;2648
944,ZARĘBSKA;2645
945,KOŁODZIEJCZAK;2643
946,PARADOWSKA;2643
947,PÓŁTORAK;2642
948,KEMPA;2639
949,GRYGIEL;2638
950,KOLASIŃSKA;2638
951,BURDA;2636
952,BARTOSIEWICZ;2633
953,BROŻEK;2631
954,OSUCH;2630
955,KOCHANOWSKA;2628
956,MULARCZYK;2627
